episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3299.686821460724, 2, 20.77431047501159, 101, 102,                                         102, 12.236224174499512, 6.634324550628662
2, -3300.2327098846436, 4, 80.3096048469888, 161, 263,                                         263, 31.472429275512695, 35.431636810302734
3, -1733.2700546979904, 4, 79.67577807899215, 160, 423,                                         423, 15.277247428894043, 36.6705322265625
4, -1869.3890986442566, 4, 79.7779766760068, 160, 583,                                         583, 8.41417407989502, 37.35930633544922
5, -1878.8193159103394, 4, 80.2190363589907, 161, 744,                                         744, 8.597183227539062, 42.556243896484375
6, -1684.551519393921, 4, 79.7851297899906, 160, 904,                                         904, 9.054413795471191, 47.87826156616211
7, -1827.5166473388672, 4, 80.22152699902654, 161, 1065,                                         1065, 6.57544469833374, 53.16400909423828
8, -1755.8614611625671, 4, 79.91608159101452, 160, 1225,                                         1225, 4.766199588775635, 58.28211212158203
9, 1934.9343111515045, 1, 25.975097371992888, 52, 1277,                                         1277, 5.963910102844238, 61.449153900146484
10, -1807.0879769325256, 4, 80.90225318699959, 162, 1439,                                         1439, 6.680581092834473, 64.88148498535156
11, -3715.3513383865356, 2, 73.8988330780121, 148, 1587,                                         1587, 8.95248031616211, 68.91175079345703
12, -2605.8145567178726, 2, 42.45679543601, 85, 1672,                                         1672, 7.565229415893555, 66.58922576904297
13, -2673.176997900009, 2, 29.444491978007136, 59, 1731,                                         1731, 10.945358276367188, 68.9505615234375
14, -2916.5812487006187, 2, 39.917671578004956, 80, 1811,                                         1811, 9.03097915649414, 71.21549987792969
15, -2579.740026950836, 2, 14.9720203410252, 30, 1841,                                         1841, 12.836568832397461, 73.07988739013672
16, -2308.8128594756126, 2, 24.531904368981486, 49, 1890,                                         1890, 15.878335952758789, 73.99170684814453
17, -2670.4002146720886, 2, 16.553998344985303, 33, 1923,                                         1923, 13.992835998535156, 74.36520385742188
18, -2544.55109000206, 2, 16.978009247017326, 34, 1957,                                         1957, 9.960497856140137, 74.4536361694336
19, -2584.9102222919464, 2, 36.99594429699937, 74, 2031,                                         2031, 17.83756446838379, 74.3465347290039
20, -2440.281131029129, 2, 32.4341379860125, 65, 2096,                                         2096, 11.635442733764648, 74.30166625976562
21, -2417.6776946783066, 2, 24.47816014199634, 49, 2145,                                         2145, 14.401688575744629, 74.28853607177734
22, -2466.3738324046135, 2, 15.058620982978027, 30, 2175,                                         2175, 17.821500778198242, 75.2891845703125
23, -2552.6918152570724, 2, 19.41971643298166, 39, 2214,                                         2214, 14.413832664489746, 75.35597229003906
24, -2432.349436402321, 2, 39.95756414398784, 80, 2294,                                         2294, 17.250085830688477, 76.29283905029297
25, -2227.4761675596237, 2, 19.96190036801272, 40, 2334,                                         2334, 14.997629165649414, 76.73377227783203
26, -2882.6390900611877, 2, 32.40498262600158, 65, 2399,                                         2399, 21.599693298339844, 78.54230499267578
27, -2783.8374989032745, 2, 20.49827556798118, 41, 2440,                                         2440, 20.35996437072754, 79.52601623535156
28, -2802.9184896945953, 2, 20.003693553997437, 40, 2480,                                         2480, 18.03359603881836, 80.94058227539062
29, -2567.25409835577, 2, 29.993272636987967, 60, 2540,                                         2540, 24.71397590637207, 82.14021301269531
30, -2413.2743842601776, 2, 28.983770612016087, 58, 2598,                                         2598, 22.30801010131836, 83.85105895996094
31, -2363.863466024399, 2, 16.423355979000917, 33, 2631,                                         2631, 20.33954429626465, 83.80472564697266
32, -2276.630312681198, 2, 24.43803977200878, 49, 2680,                                         2680, 15.618337631225586, 85.12852478027344
33, -2428.8646861314774, 2, 16.071971714001847, 32, 2712,                                         2712, 18.19054412841797, 85.23136138916016
34, -561.0822851657867, 5, 26.392814203019952, 53, 2765,                                         2765, 23.17034339904785, 87.14026641845703
35, -2967.612249851227, 2, 17.138360571989324, 34, 2799,                                         2799, 21.023178100585938, 86.44688415527344
36, -2431.28178691864, 2, 16.957284949021414, 34, 2833,                                         2833, 16.984804153442383, 89.83580017089844
37, -2662.9507599473, 2, 19.009784135996597, 38, 2871,                                         2871, 20.08176612854004, 90.07242584228516
38, -2420.649589538574, 2, 16.988201028987532, 34, 2905,                                         2905, 27.353670120239258, 91.96202850341797
39, -2693.6051807403564, 2, 15.938438646000577, 32, 2937,                                         2937, 17.439489364624023, 90.94317626953125
40, -2327.649768590927, 2, 20.08326868902077, 40, 2977,                                         2977, 22.32284927368164, 91.66321563720703
41, -2814.273744702339, 2, 52.70528979599476, 106, 3083,                                         3083, 26.727670669555664, 92.93826293945312
42, -3157.9524842500687, 2, 57.371646279993, 115, 3198,                                         3198, 23.864133834838867, 93.32067108154297
43, -2601.26985257864, 2, 46.90442076799809, 94, 3292,                                         3292, 24.787561416625977, 94.73749542236328
44, -1151.5229085683823, 4, 79.8907367780048, 160, 3452,                                         3452, 23.246654510498047, 97.29680633544922
45, -2668.097595155239, 2, 39.44949245400494, 79, 3531,                                         3531, 23.00057601928711, 98.04108428955078
46, -1327.4692405462265, 4, 79.84851830700063, 160, 3691,                                         3691, 25.95627212524414, 101.25248718261719
47, -3070.2140414714813, 2, 77.9089510590129, 156, 3847,                                         3847, 25.87305450439453, 104.2448501586914
48, -2723.056070804596, 2, 20.549300116981613, 41, 3888,                                         3888, 29.135194778442383, 104.39370727539062
49, 2354.602870821953, 1, 14.953240417991765, 30, 3918,                                         3918, 22.040943145751953, 101.41902160644531
50, -2400.578660786152, 2, 15.954947066988098, 32, 3950,                                         3950, 19.547212600708008, 103.25467681884766
51, 2194.8898907601833, 1, 20.61122551499284, 41, 3991,                                         3991, 26.971715927124023, 103.52957916259766
52, -2635.9214970469475, 2, 26.363753584009828, 53, 4044,                                         4044, 21.57449722290039, 105.05403137207031
53, -2837.7019028663635, 2, 24.97714686198742, 50, 4094,                                         4094, 27.560680389404297, 106.75687408447266
54, 2345.268496245146, 1, 15.476162502978696, 31, 4125,                                         4125, 25.60350227355957, 106.89083862304688
55, -2390.864357173443, 2, 20.039238757977728, 40, 4165,                                         4165, 33.736244201660156, 107.91511535644531
56, 1671.9246809482574, 1, 30.363894495007116, 61, 4226,                                         4226, 35.717281341552734, 107.30826568603516
57, -3445.147859096527, 2, 21.590076993015828, 43, 4269,                                         4269, 26.010555267333984, 107.0239486694336
58, -2284.9575839042664, 4, 80.28977941299672, 161, 4430,                                         4430, 29.195476531982422, 107.42626953125
59, 2150.425576746464, 1, 35.01177964001545, 70, 4500,                                         4500, 26.670705795288086, 106.19491577148438
60, -769.3337845802307, 5, 17.977677786984714, 36, 4536,                                         4536, 31.02579689025879, 109.3250961303711
61, 2099.4054102301598, 1, 41.884615407994715, 84, 4620,                                         4620, 26.19753646850586, 106.84486389160156
62, -2477.4903914928436, 2, 18.408006812998792, 37, 4657,                                         4657, 27.907390594482422, 106.710693359375
63, 2060.638318359852, 1, 32.50797686300939, 65, 4722,                                         4722, 28.534666061401367, 108.04975891113281
64, -1526.0584889650345, 4, 80.33145100000547, 161, 4883,                                         4883, 32.246517181396484, 106.22533416748047
65, -2719.9991668462753, 2, 40.393159499013564, 81, 4964,                                         4964, 28.580469131469727, 106.39311218261719
66, -2474.896880507469, 2, 22.523917244019685, 45, 5009,                                         5009, 29.25119400024414, 107.37964630126953
67, 2256.710947096348, 1, 21.944887147983536, 44, 5053,                                         5053, 25.625097274780273, 105.13208770751953
68, 1844.4042827486992, 1, 43.45264864698402, 87, 5140,                                         5140, 24.57090187072754, 105.56764221191406
69, -2562.162715315819, 2, 21.965281567012426, 44, 5184,                                         5184, 23.8603458404541, 104.9169921875
70, 2351.0842834711075, 1, 21.962080316006904, 44, 5228,                                         5228, 34.73905563354492, 105.68173217773438
71, 1879.1034132093191, 1, 45.89019403900602, 92, 5320,                                         5320, 31.62397003173828, 105.75186920166016
72, 1345.4509525895119, 1, 54.246963098004926, 109, 5429,                                         5429, 28.676740646362305, 106.07066345214844
73, -3308.2050969600677, 2, 17.538147530984133, 35, 5464,                                         5464, 29.57726287841797, 107.10386657714844
