episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -1757.1491780281067, 4, 80.77112069696886, 166, 234,                                         234, 19.01658058166504, 18.247629165649414
2, -2645.4310734272003, 2, 34.366624190006405, 70, 304,                                         304, 12.240961074829102, 23.035064697265625
3, -2424.368254184723, 2, 17.18470946396701, 35, 339,                                         339, 16.588932037353516, 24.302627563476562
4, -2340.8004472255707, 2, 18.161036671022885, 37, 376,                                         376, 17.59580421447754, 24.59002113342285
5, -2529.6220037937164, 2, 16.215486365021206, 33, 409,                                         409, 23.741060256958008, 24.6829833984375
6, -2399.967932701111, 2, 14.84446706296876, 30, 439,                                         439, 34.47651672363281, 24.64110565185547
7, 2285.539915084839, 1, 19.761924535036087, 40, 479,                                         479, 35.591487884521484, 25.87788963317871
8, -938.133852481842, 4, 80.0008647729992, 163, 642,                                         642, 25.36758041381836, 27.307785034179688
9, -2585.7217082977295, 2, 36.88219255203148, 75, 717,                                         717, 25.323549270629883, 27.283174514770508
10, -3246.6869591474533, 2, 43.81342732702615, 89, 806,                                         806, 25.913795471191406, 29.634078979492188
11, -2437.7495472431183, 2, 21.11346861004131, 43, 849,                                         849, 20.527238845825195, 30.396699905395508
12, -2402.0886397361755, 2, 15.826453743968159, 32, 881,                                         881, 20.747167587280273, 30.24616813659668
13, -3480.9732963740826, 2, 52.03724045900162, 106, 987,                                         987, 23.161029815673828, 31.406286239624023
14, 2094.6430965662003, 1, 15.340193348005414, 31, 1018,                                         1018, 30.52754020690918, 32.63969802856445
15, -3062.459191799164, 2, 63.44986137695378, 129, 1147,                                         1147, 30.895309448242188, 33.89246368408203
16, -2241.211606025696, 2, 21.622173464973457, 44, 1191,                                         1191, 26.4117488861084, 35.24201583862305
17, -2615.4771132469177, 2, 15.716381793026812, 32, 1223,                                         1223, 29.097196578979492, 36.02109146118164
18, -2556.8822445869446, 2, 15.723871158028487, 32, 1255,                                         1255, 39.23476028442383, 37.210166931152344
19, -3762.678557395935, 2, 62.86318028700771, 128, 1383,                                         1383, 28.106191635131836, 39.02135467529297
20, -3329.371027469635, 2, 56.4979693479836, 115, 1498,                                         1498, 29.44628143310547, 41.895912170410156
21, -2856.716205716133, 2, 40.396220251044724, 82, 1580,                                         1580, 34.14201354980469, 43.66941833496094
22, -2694.838072657585, 2, 50.08563128602691, 102, 1682,                                         1682, 27.416486740112305, 44.5135612487793
23, -1077.3607519865036, 4, 80.08999847102677, 163, 1845,                                         1845, 23.420631408691406, 46.62112808227539
24, -852.6504153013229, 4, 80.06939648400294, 163, 2008,                                         2008, 26.37379264831543, 47.917362213134766
25, -2625.374919295311, 2, 51.212432820990216, 104, 2112,                                         2112, 26.160911560058594, 50.454856872558594
26, -2569.5161261558533, 2, 27.01381528895581, 55, 2167,                                         2167, 20.52365493774414, 50.28093338012695
27, 1871.9809750765562, 1, 46.192450287984684, 94, 2261,                                         2261, 22.6166934967041, 51.79130554199219
